Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6862.80 Mobile Safari/537.36 Telegram-Android/11.2.5 (Realme RMX3312; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6751.52 Mobile Safari/537.36 Telegram-Android/11.2.8 (Samsung SM-A146B; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6779.51 Mobile Safari/537.36 Telegram-Android/11.0.1 (vivo V2147; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6739.74 Mobile Safari/537.36 Telegram-Android/11.0.0 (Samsung SM-F926B; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6829.70 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi 2201117TY; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6837.41 Mobile Safari/537.36 Telegram-Android/11.3.0 (ZTE P892N20; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6884.49 Mobile Safari/537.36 Telegram-Android/11.0.2 (OnePlus CPH2477; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6785.99 Mobile Safari/537.36 Telegram-Android/11.0.0 (ASUS ASUS_I002D; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6816.45 Mobile Safari/537.36 Telegram-Android/11.3.0 (ASUS ASUS_I002DB; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 14; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6804.37 Mobile Safari/537.36 Telegram-Android/11.1.2 (ZTE NX679J; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6709.34 Mobile Safari/537.36 Telegram-Android/11.2.5 (Xiaomi 2211133C; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6844.44 Mobile Safari/537.36 Telegram-Android/11.0.9 (OPPO PGBM10; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6774.74 Mobile Safari/537.36 Telegram-Android/11.0.1 (OPPO PFFM10; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6855.36 Mobile Safari/537.36 Telegram-Android/11.0.8 (OPPO PDHM00; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6772.60 Mobile Safari/537.36 Telegram-Android/11.0.0 (Lenovo L71122; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6710.31 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2218A; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6859.73 Mobile Safari/537.36 Telegram-Android/11.2.1 (Xiaomi 22081212C; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6740.52 Mobile Safari/537.36 Telegram-Android/11.0.1 (Lenovo L71061; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6828.61 Mobile Safari/537.36 Telegram-Android/11.1.4 (Google G8VOU; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6747.31 Mobile Safari/537.36 Telegram-Android/11.1.3 (Lenovo L71091; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6891.96 Mobile Safari/537.36 Telegram-Android/11.3.0 (Realme RMX3688; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6725.46 Mobile Safari/537.36 Telegram-Android/11.0.1 (vivo V2245A; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6793.75 Mobile Safari/537.36 Telegram-Android/11.2.2 (vivo V2147; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6892.50 Mobile Safari/537.36 Telegram-Android/11.3.0 (ASUS ASUS_AI2201; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6735.75 Mobile Safari/537.36 Telegram-Android/11.1.0 (Lenovo L71061; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6858.49 Mobile Safari/537.36 Telegram-Android/11.2.4 (OPPO PDEM10; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6858.96 Mobile Safari/537.36 Telegram-Android/11.3.0 (Google GP4BC; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6710.94 Mobile Safari/537.36 Telegram-Android/11.0.9 (AT&T A536U; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6867.70 Mobile Safari/537.36 Telegram-Android/11.3.0 (Huawei NOH-NX9; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6750.85 Mobile Safari/537.36 Telegram-Android/11.2.7 (OPPO PERM00; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6845.72 Mobile Safari/537.36 Telegram-Android/11.1.1 (Realme RMX3700; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6895.72 Mobile Safari/537.36 Telegram-Android/11.2.0 (OnePlus CPH2471; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6866.44 Mobile Safari/537.36 Telegram-Android/11.0.7 (OnePlus PHK110; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6720.51 Mobile Safari/537.36 Telegram-Android/11.1.1 (Samsung SM-A045F; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6856.33 Mobile Safari/537.36 Telegram-Android/11.3.0 (OPPO PGBM10; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6783.33 Mobile Safari/537.36 Telegram-Android/11.1.8 (Samsung SM-F926B; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6853.37 Mobile Safari/537.36 Telegram-Android/11.0.1 (vivo V2207; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6763.38 Mobile Safari/537.36 Telegram-Android/11.1.2 (Realme RMX3700; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6723.41 Mobile Safari/537.36 Telegram-Android/11.1.1 (OnePlus CPH2471; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6814.33 Mobile Safari/537.36 Telegram-Android/11.0.5 (Samsung SM-S908B; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6832.42 Mobile Safari/537.36 Telegram-Android/11.3.0 (OPPO CPH2459; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6774.61 Mobile Safari/537.36 Telegram-Android/11.1.2 (Samsung SM-S901B; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6803.52 Mobile Safari/537.36 Telegram-Android/11.1.6 (vivo V2241A; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6848.48 Mobile Safari/537.36 Telegram-Android/11.1.3 (Google GVU6C; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6844.86 Mobile Safari/537.36 Telegram-Android/11.3.0 (Realme RMX3312; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6896.55 Mobile Safari/537.36 Telegram-Android/11.1.6 (ZTE P892N20; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6831.45 Mobile Safari/537.36 Telegram-Android/11.2.8 (vivo V2151; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6848.46 Mobile Safari/537.36 Telegram-Android/11.3.0 (Samsung SM-A736B; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6828.95 Mobile Safari/537.36 Telegram-Android/11.3.0 (OnePlus CPH2477; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6870.62 Mobile Safari/537.36 Telegram-Android/11.1.3 (Huawei NOH-NX9; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6857.38 Mobile Safari/537.36 Telegram-Android/11.1.1 (ASUS ASUS_I004B; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6891.87 Mobile Safari/537.36 Telegram-Android/11.2.4 (Huawei MGA-LX9; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6876.59 Mobile Safari/537.36 Telegram-Android/11.1.8 (Huawei MED-LX9; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6788.89 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2219A; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6839.66 Mobile Safari/537.36 Telegram-Android/11.1.5 (ZTE P892N21; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6844.70 Mobile Safari/537.36 Telegram-Android/11.3.0 (Infinix X6819; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6753.67 Mobile Safari/537.36 Telegram-Android/11.3.0 (Lenovo TB450K; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6753.34 Mobile Safari/537.36 Telegram-Android/11.2.7 (OnePlus CPH2419; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 13; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6738.97 Mobile Safari/537.36 Telegram-Android/11.0.3 (OnePlus CPH2477; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6721.40 Mobile Safari/537.36 Telegram-Android/11.3.0 (OPPO PGBM10; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6837.69 Mobile Safari/537.36 Telegram-Android/11.1.0 (AT&T N986U; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6873.77 Mobile Safari/537.36 Telegram-Android/11.2.7 (AT&T G998U; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6713.81 Mobile Safari/537.36 Telegram-Android/11.1.4 (Realme RMX3312; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6825.81 Mobile Safari/537.36 Telegram-Android/11.2.5 (Google GB7N6; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6852.55 Mobile Safari/537.36 Telegram-Android/11.2.6 (Realme RMX3688; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6707.37 Mobile Safari/537.36 Telegram-Android/11.3.0 (Huawei PPA-LX9; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6832.44 Mobile Safari/537.36 Telegram-Android/11.2.9 (OPPO PFFM10; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6743.91 Mobile Safari/537.36 Telegram-Android/11.3.0 (Google GX7AS; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6767.38 Mobile Safari/537.36 Telegram-Android/11.3.0 (AT&T A146U; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6762.48 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi 2211133C; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6768.68 Mobile Safari/537.36 Telegram-Android/11.0.6 (vivo V2164A; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6848.79 Mobile Safari/537.36 Telegram-Android/11.1.9 (Samsung SM-S908N; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6885.51 Mobile Safari/537.36 Telegram-Android/11.1.3 (Samsung SM-F721B; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6871.42 Mobile Safari/537.36 Telegram-Android/11.0.9 (Realme RMX3688; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6868.66 Mobile Safari/537.36 Telegram-Android/11.0.1 (AT&T A536U; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6878.55 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2206; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6740.57 Mobile Safari/537.36 Telegram-Android/11.0.9 (Google GE2AE; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6880.47 Mobile Safari/537.36 Telegram-Android/11.1.1 (ZTE NX719J; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6701.94 Mobile Safari/537.36 Telegram-Android/11.1.4 (Xiaomi 2301BDDSG; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6716.50 Mobile Safari/537.36 Telegram-Android/11.3.0 (Infinix X6827; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6764.56 Mobile Safari/537.36 Telegram-Android/11.1.9 (OnePlus NE2211; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6835.62 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi M2102J20SG; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6876.88 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi 2211133C; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6801.97 Mobile Safari/537.36 Telegram-Android/11.1.3 (OPPO PDCM00; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6807.85 Mobile Safari/537.36 Telegram-Android/11.3.0 (Lenovo XT2427-2; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6849.45 Mobile Safari/537.36 Telegram-Android/11.1.8 (Lenovo TB570K; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6887.61 Mobile Safari/537.36 Telegram-Android/11.2.0 (OPPO PDHM00; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6780.79 Mobile Safari/537.36 Telegram-Android/11.0.7 (ZTE P892N22; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6781.58 Mobile Safari/537.36 Telegram-Android/11.3.0 (Samsung SM-S918B; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6854.63 Mobile Safari/537.36 Telegram-Android/11.0.0 (Xiaomi 22011119TI; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6886.83 Mobile Safari/537.36 Telegram-Android/11.2.6 (vivo V2164A; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6814.56 Mobile Safari/537.36 Telegram-Android/11.1.7 (OPPO PDCM00; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6793.84 Mobile Safari/537.36 Telegram-Android/11.2.6 (ASUS ASUS_AI2201; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6754.68 Mobile Safari/537.36 Telegram-Android/11.0.7 (AT&T A526U; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6812.76 Mobile Safari/537.36 Telegram-Android/11.1.0 (Infinix X6711; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6894.66 Mobile Safari/537.36 Telegram-Android/11.2.5 (vivo V2151; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6718.51 Mobile Safari/537.36 Telegram-Android/11.0.8 (ASUS ASUS_AI2205; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6861.36 Mobile Safari/537.36 Telegram-Android/11.0.7 (AT&T A536U; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6723.68 Mobile Safari/537.36 Telegram-Android/11.1.9 (Huawei JLN-LX9; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 14; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6831.84 Mobile Safari/537.36 Telegram-Android/11.0.5 (Lenovo XT2427-2; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6720.57 Mobile Safari/537.36 Telegram-Android/11.2.9 (Lenovo L72051; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6771.79 Mobile Safari/537.36 Telegram-Android/11.3.0 (AT&T A042U; Android 13; SDK 34; LOW)
